N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
101,삼성증권,"31,950",400,+1.27%,"5,000","28,531","89,300",27.06,"172,815",4.07,16.94,
102,포스코인터내셔널,"22,850","1,300",+6.03%,"5,000","28,191","123,375",8.83,"3,501,150",5.30,10.86,
103,제일기획,"24,300",300,+1.25%,200,"27,955","115,041",32.67,"165,629",15.23,15.58,
104,현대로템,"25,000",150,+0.60%,"5,000","27,286","109,142",7.35,"1,320,350",32.64,5.01,
105,한진칼,"40,500",650,+1.63%,"2,500","27,039","66,762",16.21,"61,763",3.40,1.11,
106,씨에스윈드,"62,300","2,000",+3.32%,500,"26,273","42,171",10.45,"356,636",151.21,10.13,
107,롯데쇼핑,"89,800",800,+0.90%,"5,000","25,403","28,289",13.01,"56,204",-22.11,-2.94,
108,호텔신라,"64,700","2,000",+3.19%,"5,000","25,394","39,248",15.15,"996,864",77.58,4.51,
109,메리츠증권,"3,890",130,+3.46%,"1,000","24,885","639,711",14.14,"2,249,447",3.40,15.77,
110,한전기술,"64,900","1,400",+2.20%,200,"24,805","38,220",1.57,"1,470,784",145.52,3.25,
111,이마트,"88,600","3,100",+3.63%,"5,000","24,698","27,876",28.01,"105,926",1.41,16.25,
112,LG화학우,"319,000","4,000",+1.27%,"5,000","24,527","7,689",70.30,"8,762",11.25,N/A,
113,HL만도,"51,800",200,-0.38%,"1,000","24,324","46,957",22.26,"130,477",23.07,9.31,
114,에스원,"63,400","2,900",+4.79%,500,"24,091","37,999",53.42,"66,838",19.63,9.13,
115,OCI,"100,000","1,000",-0.99%,"5,000","23,849","23,849",10.96,"301,559",3.19,23.93,
116,한미사이언스,"33,750","1,350",+4.17%,500,"23,160","68,624",2.44,"101,828",44.94,6.37,
117,LIG넥스원,"104,500","1,000",+0.97%,"5,000","22,990","22,000",13.58,"226,034",15.47,14.63,
118,KODEX 200선물인버스2X,"3,285",55,-1.65%,0,"22,959","698,900",3.69,"195,194,920",N/A,N/A,
119,팬오션,"4,250",70,+1.67%,"1,000","22,719","534,570",16.48,"2,254,090",2.87,17.16,
120,아모레G,"26,950","1,750",+6.94%,500,"22,222","82,458",14.70,"474,766",60.43,5.49,
121,LS,"68,200",500,-0.73%,"5,000","21,960","32,200",13.62,"71,946",6.84,8.15,
122,한화시스템,"11,600",0,0.00%,"5,000","21,915","188,919",3.75,"377,952",118.37,6.04,
123,신세계,"220,000","7,500",+3.53%,"5,000","21,659","9,845",27.80,"81,862",5.35,8.54,
124,대한전선,"1,740",15,+0.87%,100,"21,654","1,244,473",2.16,"59,004,407",45.79,7.78,
125,영원무역,"48,200",50,+0.10%,500,"21,358","44,311",29.23,"57,161",4.68,14.71,
126,CJ,"72,500",100,-0.14%,"5,000","21,153","29,177",17.87,"33,091",7.98,5.66,
127,동서,"21,150",350,+1.68%,500,"21,087","99,700",3.14,"30,562",18.17,8.05,
128,BNK금융지주,"6,430",20,+0.31%,"5,000","20,958","325,935",35.23,"774,170",2.53,8.76,
129,KCC,"235,500","5,000",-2.08%,"5,000","20,928","8,886",11.61,"36,393",-8.25,-0.92,
130,한화,"27,850",250,+0.91%,"5,000","20,876","74,959",17.55,"184,995",2.60,20.22,
131,휠라홀딩스,"34,000","1,050",+3.19%,"1,000","20,656","60,752",41.83,"160,951",9.84,16.20,
132,한솔케미칼,"182,000",500,+0.28%,"5,000","20,630","11,335",38.60,"27,143",13.61,23.88,
133,코스모신소재,"67,200","1,800",-2.61%,"1,000","20,597","30,651",9.54,"395,008",83.37,9.42,
134,두산퓨얼셀,"31,050",850,+2.81%,100,"20,336","65,494",14.56,"566,029",263.14,1.69,
135,키움증권,"77,500","1,800",+2.38%,"5,000","20,320","26,220",24.96,"46,241",3.36,25.38,
136,KODEX 레버리지,"13,735",220,+1.63%,0,"20,177","146,900",0.96,"29,495,718",N/A,N/A,
137,TIGER 미국나스닥100,"68,505",960,-1.38%,0,"20,093","29,330",0.00,"172,453",N/A,N/A,
138,대우조선해양,"18,550",200,+1.09%,"5,000","19,902","107,291",2.56,"394,976",-1.78,-55.86,
139,TIGER 200,"30,460",265,+0.88%,0,"19,784","64,950",0.00,"760,755",N/A,N/A,
140,CJ대한통운,"86,300","1,300",+1.53%,"5,000","19,687","22,812",18.23,"61,805",10.80,1.59,
141,KODEX 200TR,"10,200",80,+0.79%,0,"19,523","191,400",0.10,"45,263",N/A,N/A,
142,GS건설,"22,300",50,+0.22%,"5,000","19,085","85,581",33.65,"569,338",3.94,9.32,
143,대우건설,"4,590",35,+0.77%,"5,000","19,077","415,623",11.97,"1,210,256",4.54,16.47,
144,DB하이텍,"42,950",50,-0.12%,"5,000","19,069","44,399",23.82,"610,469",3.61,33.35,
145,하이트진로,"26,900",450,+1.70%,"5,000","18,866","70,134",13.10,"120,109",20.03,6.62,
146,현대차우,"77,400",0,0.00%,"5,000","18,852","24,357",57.13,"33,619",3.43,N/A,
147,농심,"308,000","3,000",+0.98%,"5,000","18,735","6,083",13.70,"14,204",16.53,4.73,
148,한화생명,"2,105",20,-0.94%,"5,000","18,283","868,530",7.28,"1,502,273",1.74,10.79,
149,대웅제약,"156,500","1,000",-0.63%,"2,500","18,133","11,587",8.69,"28,872",24.93,4.39,
150,KODEX 삼성그룹,"9,030",0,0.00%,0,"18,114","200,600",2.19,"584,852",N/A,N/A,
151,오뚜기,"446,000","5,500",+1.25%,"5,000","17,875","4,008",11.08,"2,367",10.95,8.91,
152,TIGER 미국S&P500,"13,275",155,-1.15%,0,"17,769","133,850",0.04,"850,452",N/A,N/A,
153,금양,"29,800","1,950",-6.14%,500,"17,299","58,050",1.78,"4,173,353",96.13,13.57,
154,현대위아,"61,500","1,200",+1.99%,"5,000","16,725","27,195",10.29,"101,890",7.40,1.96,
155,TIGER CD금리투자KIS(합성),"51,395",5,+0.01%,0,"16,417","31,942",0.00,"630,237",N/A,N/A,
